expression,exponents,dimension,value_si,ratio_to_G,log10_ratio,abs_log10_ratio,exponent_complexity,constant_count,rank_score,classification,assessment
c^2 * l_P * m_P^-1,"{""c"": ""2"", ""l_P"": ""1"", ""m_P"": ""-1""}",M^-1 L^3 T^-2,6.674300950129e-11,1.000000142356e+00,0.000000061825,0.000000061825,4,3,0.180000061825,known Planck-unit identity,"control (speed-light-length-mass): Planck length and Planck mass are defined from G, c, and hbar; the relation is an algebraic consistency control."
c * hbar * m_P^-2,"{""c"": ""1"", ""hbar"": ""1"", ""m_P"": ""-2""}",M^-1 L^3 T^-2,6.674302101973e-11,1.000000314935e+00,0.000000136775,0.000000136775,4,3,0.180000136775,known Planck-unit identity,control (hbar-light-planck-mass): Planck mass is defined by m_P^2 = hbar*c/G; this is that definition solved back for G.
c^3 * m_P^-1 * t_P,"{""c"": ""3"", ""m_P"": ""-1"", ""t_P"": ""1""}",M^-1 L^3 T^-2,6.674301733968e-11,1.000000259798e+00,0.000000112829,0.000000112829,5,3,0.200000112829,known Planck-unit identity,"control (light-time-planck-mass): Planck time and Planck mass are defined from G, c, and hbar; the relation is an algebraic consistency control."
c^3 * hbar^-1 * l_P^2,"{""c"": ""3"", ""hbar"": ""-1"", ""l_P"": ""2""}",M^-1 L^3 T^-2,6.674299798285e-11,9.999999697774e-01,-0.000000013125,0.000000013125,6,3,0.220000013125,known Planck-unit identity,control (light-planck-length-hbar): Planck length is defined by l_P^2 = hbar*G/c^3; this is that definition solved back for G.
l_P^3 * m_P^-1 * t_P^-2,"{""l_P"": ""3"", ""m_P"": ""-1"", ""t_P"": ""-2""}",M^-1 L^3 T^-2,6.674299382452e-11,9.999999074737e-01,-0.000000040184,0.000000040184,6,3,0.220000040184,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
hbar^2 * l_P^-1 * m_P^-3,"{""hbar"": ""2"", ""l_P"": ""-1"", ""m_P"": ""-3""}",M^-1 L^3 T^-2,6.674303253816e-11,1.000000487514e+00,0.000000211725,0.000000211725,6,3,0.220000211725,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^2 * m_p^-1 * l_P,"{""c"": ""2"", ""l_P"": ""1"", ""m_p"": ""-1""}",M^-1 L^3 T^-2,8.684673618542e+08,1.301211156008e+19,19.114347778074,19.114347778074,4,3,19.294347778074,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^2 * m_u^-1 * l_P,"{""c"": ""2"", ""l_P"": ""1"", ""m_u"": ""-1""}",M^-1 L^3 T^-2,8.747867355834e+08,1.310679375490e+19,19.117496465538,19.117496465538,4,3,19.297496465538,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^3 * m_p^-1 * t_P,"{""c"": ""3"", ""m_p"": ""-1"", ""t_P"": ""1""}",M^-1 L^3 T^-2,8.684674638482e+08,1.301211308824e+19,19.114347829078,19.114347829078,5,3,19.314347829078,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^3 * m_u^-1 * t_P,"{""c"": ""3"", ""m_u"": ""-1"", ""t_P"": ""1""}",M^-1 L^3 T^-2,8.747868383195e+08,1.310679529418e+19,19.117496516542,19.117496516542,5,3,19.317496516542,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
m_p^-1 * l_P^3 * t_P^-2,"{""l_P"": ""3"", ""m_p"": ""-1"", ""t_P"": ""-2""}",M^-1 L^3 T^-2,8.684671578663e+08,1.301210850376e+19,19.114347676066,19.114347676066,6,3,19.334347676066,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
m_u^-1 * l_P^3 * t_P^-2,"{""l_P"": ""3"", ""m_u"": ""-1"", ""t_P"": ""-2""}",M^-1 L^3 T^-2,8.747865301112e+08,1.310679067634e+19,19.117496363530,19.117496363530,6,3,19.337496363530,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^2 * m_e^-1 * l_P,"{""c"": ""2"", ""l_P"": ""1"", ""m_e"": ""-1""}",M^-1 L^3 T^-2,1.594638668248e+12,2.389222342789e+22,22.378256567395,22.378256567395,4,3,22.558256567395,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c^3 * m_e^-1 * t_P,"{""c"": ""3"", ""m_e"": ""-1"", ""t_P"": ""1""}",M^-1 L^3 T^-2,1.594638855524e+12,2.389222623383e+22,22.378256618399,22.378256618399,5,3,22.578256618399,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
m_e^-1 * l_P^3 * t_P^-2,"{""l_P"": ""3"", ""m_e"": ""-1"", ""t_P"": ""-2""}",M^-1 L^3 T^-2,1.594638293695e+12,2.389221781602e+22,22.378256465386,22.378256465386,6,3,22.598256465386,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
c * hbar * m_p^-2,"{""c"": ""1"", ""hbar"": ""1"", ""m_p"": ""-2""}",M^-1 L^3 T^-2,1.130059454027e+28,1.693150523690e+38,38.228695569274,38.228695569274,4,3,38.408695569274,exploratory dimensional match,no identity assigned; dimensional validity and numerical proximity are not evidence
c * hbar * m_u^-2,"{""c"": ""1"", ""hbar"": ""1"", ""m_u"": ""-2""}",M^-1 L^3 T^-2,1.146564966934e+28,1.717880477254e+38,38.234992944201,38.234992944201,4,3,38.414992944201,exploratory dimensional match,no identity assigned; dimensional validity and numerical proximity are not evidence
c * hbar * m_e^-2,"{""c"": ""1"", ""hbar"": ""1"", ""m_e"": ""-2""}",M^-1 L^3 T^-2,3.809946450000e+34,5.708383575806e+44,44.756513147915,44.756513147915,4,3,44.936513147915,exploratory dimensional match,no identity assigned; dimensional validity and numerical proximity are not evidence
hbar^2 * m_p^-3 * l_P^-1,"{""hbar"": ""2"", ""l_P"": ""-1"", ""m_p"": ""-3""}",M^-1 L^3 T^-2,1.470446012972e+47,2.203146416811e+57,57.343043360473,57.343043360473,6,3,57.563043360473,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
hbar^2 * m_u^-3 * l_P^-1,"{""hbar"": ""2"", ""l_P"": ""-1"", ""m_u"": ""-3""}",M^-1 L^3 T^-2,1.502779100238e+47,2.251590579143e+57,57.352489422865,57.352489422865,6,3,57.572489422865,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
hbar^2 * m_e^-3 * l_P^-1,"{""hbar"": ""2"", ""l_P"": ""-1"", ""m_e"": ""-3""}",M^-1 L^3 T^-2,9.102809458282e+56,1.363859799272e+67,67.134769728435,67.134769728435,6,3,67.354769728435,Planck-unit rearrangement,not independent of G; inspect algebraically before interpreting the ratio
